year,date,week,month,day,start,end,action,duration,string-start,string-end
2022,2022-09-12,37,09,12,06:00,09:00,Wake up & Go to Gym,03:00:00,2022-09-12 06:00:00+03:00,2022-09-12 09:00:00+03:00
2022,2022-09-12,37,09,12,10:00,11:00,"Mehiläinen || Terapeutti, do it",01:00:00,2022-09-12 10:00:00+03:00,2022-09-12 11:00:00+03:00
2022,2022-09-12,37,09,12,11:00,12:00,Lunch,01:00:00,2022-09-12 11:00:00+03:00,2022-09-12 12:00:00+03:00
2022,2022-09-12,37,09,12,12:00,14:00,Programming || fCC Certifications,02:00:00,2022-09-12 12:00:00+03:00,2022-09-12 14:00:00+03:00
2022,2022-09-12,37,09,12,14:00,19:00,Programming || fCC Certifications,05:00:00,2022-09-12 14:00:00+03:00,2022-09-12 19:00:00+03:00
2022,2022-09-12,37,09,12,19:00,21:00,Career Planning,02:00:00,2022-09-12 19:00:00+03:00,2022-09-12 21:00:00+03:00
2022,2022-09-14,37,09,14,17:00,18:00,Front end development,01:00:00,2022-09-14 17:00:00+03:00,2022-09-14 18:00:00+03:00
2022,2022-09-14,37,09,14,19:00,20:00,Front End if Time Allows,01:00:00,2022-09-14 19:00:00+03:00,2022-09-14 20:00:00+03:00
2022,2022-09-15,37,09,15,06:30,07:30,Wake up,01:00:00,2022-09-15 06:30:00+03:00,2022-09-15 07:30:00+03:00
2022,2022-09-15,37,09,15,07:30,09:00,Matikka Prep,01:30:00,2022-09-15 07:30:00+03:00,2022-09-15 09:00:00+03:00
2022,2022-09-15,37,09,15,09:00,11:30,Nordea Testi,02:30:00,2022-09-15 09:00:00+03:00,2022-09-15 11:30:00+03:00
2022,2022-09-15,37,09,15,11:30,14:00,Front End Programming,02:30:00,2022-09-15 11:30:00+03:00,2022-09-15 14:00:00+03:00
2022,2022-09-15,37,09,15,14:00,15:00,Lunch,01:00:00,2022-09-15 14:00:00+03:00,2022-09-15 15:00:00+03:00
2022,2022-09-15,37,09,15,15:00,17:00,Programming,02:00:00,2022-09-15 15:00:00+03:00,2022-09-15 17:00:00+03:00
2022,2022-09-15,37,09,15,17:00,18:30,Meeting with Dog Owners,01:30:00,2022-09-15 17:00:00+03:00,2022-09-15 18:30:00+03:00
2022,2022-09-15,37,09,15,20:00,23:00,Afterwork,03:00:00,2022-09-15 20:00:00+03:00,2022-09-15 23:00:00+03:00
2022,2022-09-16,37,09,16,07:00,09:00,Home workout?,02:00:00,2022-09-16 07:00:00+03:00,2022-09-16 09:00:00+03:00
2022,2022-09-16,37,09,16,09:00,13:00,JavaScript,04:00:00,2022-09-16 09:00:00+03:00,2022-09-16 13:00:00+03:00
2022,2022-09-16,37,09,16,13:00,14:00,Lunch,01:00:00,2022-09-16 13:00:00+03:00,2022-09-16 14:00:00+03:00
2022,2022-09-16,37,09,16,14:00,20:00,JavaScript,06:00:00,2022-09-16 14:00:00+03:00,2022-09-16 20:00:00+03:00
2022,2022-09-17,37,09,17,10:00,12:00,Job Application Valor Partners & Bain,02:00:00,2022-09-17 10:00:00+03:00,2022-09-17 12:00:00+03:00
2022,2022-09-17,37,09,17,14:00,19:30,JavaScript,05:30:00,2022-09-17 14:00:00+03:00,2022-09-17 19:30:00+03:00
2022,2022-09-19,38,09,19,07:00,10:15,Wake up & Gym,03:15:00,2022-09-19 07:00:00+03:00,2022-09-19 10:15:00+03:00
2022,2022-09-19,38,09,19,11:30,12:30,Read about VALOR,01:00:00,2022-09-19 11:30:00+03:00,2022-09-19 12:30:00+03:00
2022,2022-09-19,38,09,19,12:30,19:00,JavaScript,06:30:00,2022-09-19 12:30:00+03:00,2022-09-19 19:00:00+03:00
2022,2022-09-19,38,09,19,19:00,20:30,Vainu Työhakemus,01:30:00,2022-09-19 19:00:00+03:00,2022-09-19 20:30:00+03:00
2022,2022-09-20,38,09,20,10:00,13:00,JavaScript,03:00:00,2022-09-20 10:00:00+03:00,2022-09-20 13:00:00+03:00
2022,2022-09-20,38,09,20,13:00,14:00,Lunch,01:00:00,2022-09-20 13:00:00+03:00,2022-09-20 14:00:00+03:00
2022,2022-09-20,38,09,20,14:00,19:30,JavaScript,05:30:00,2022-09-20 14:00:00+03:00,2022-09-20 19:30:00+03:00
2022,2022-09-21,38,09,21,07:00,10:15,Wake up & Gym,03:15:00,2022-09-21 07:00:00+03:00,2022-09-21 10:15:00+03:00
